sample_source,sample_type,sample_id,image_path,mask_path,image_height,image_width,mask_height,mask_width,image_aspect_ratio,mask_aspect_ratio,shapes_match
supplemental,forged,64908,/content/drive/MyDrive/Scientific Image Data/supplemental_images/64908.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/64908.npy,747,384,1,747,0.5140562248995983,747.0,False
train,forged,10,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10.npy,512,648,1,512,1.265625,512.0,False
train,forged,10015,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10015.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10015.npy,1200,1600,1,1200,1.3333333333333333,1200.0,False
train,forged,10017,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10017.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10017.npy,256,320,1,256,1.25,256.0,False
train,forged,10030,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10030.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10030.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,10070,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10070.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10070.npy,712,414,2,712,0.5814606741573034,356.0,False
train,forged,1008,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1008.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1008.npy,158,1310,1,158,8.291139240506329,158.0,False
train,forged,10138,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10138.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10138.npy,3888,2592,1,3888,0.6666666666666666,3888.0,False
train,forged,10139,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10139.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10139.npy,846,759,3,846,0.8971631205673759,282.0,False
train,forged,10147,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10147.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10147.npy,1912,2568,1,1912,1.3430962343096233,1912.0,False
train,forged,10152,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10152.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10152.npy,152,1201,1,152,7.901315789473684,152.0,False
train,forged,10176,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10176.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10176.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,10180,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10180.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10180.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,10208,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10208.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10208.npy,520,696,1,520,1.3384615384615384,520.0,False
train,forged,10266,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10266.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10266.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,10277,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10277.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10277.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,10290,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10290.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10290.npy,1200,1600,1,1200,1.3333333333333333,1200.0,False
train,forged,10296,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10296.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10296.npy,81,113,1,81,1.3950617283950617,81.0,False
train,forged,10307,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10307.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10307.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,10348,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10348.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10348.npy,256,320,2,256,1.25,128.0,False
train,forged,10398,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10398.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10398.npy,402,618,1,402,1.537313432835821,402.0,False
train,forged,10408,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10408.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10408.npy,64,434,1,64,6.78125,64.0,False
train,forged,1041,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1041.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1041.npy,140,403,1,140,2.8785714285714286,140.0,False
train,forged,10435,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10435.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10435.npy,422,1137,2,422,2.6943127962085307,211.0,False
train,forged,10448,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10448.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10448.npy,68,753,1,68,11.073529411764707,68.0,False
train,forged,10457,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10457.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10457.npy,256,256,1,256,1.0,256.0,False
train,forged,10458,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10458.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10458.npy,156,536,1,156,3.4358974358974357,156.0,False
train,forged,10476,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10476.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10476.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,10505,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10505.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10505.npy,102,986,1,102,9.666666666666666,102.0,False
train,forged,10570,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10570.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10570.npy,458,1216,1,458,2.6550218340611353,458.0,False
train,forged,10602,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10602.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10602.npy,490,655,1,490,1.336734693877551,490.0,False
train,forged,10632,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10632.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10632.npy,256,256,1,256,1.0,256.0,False
train,forged,10636,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10636.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10636.npy,360,360,1,360,1.0,360.0,False
train,forged,10645,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10645.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10645.npy,120,640,1,120,5.333333333333333,120.0,False
train,forged,1070,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1070.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1070.npy,520,696,3,520,1.3384615384615384,173.33333333333334,False
train,forged,10703,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10703.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10703.npy,512,620,1,512,1.2109375,512.0,False
train,forged,10730,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10730.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10730.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,10742,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10742.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10742.npy,256,256,1,256,1.0,256.0,False
train,forged,10799,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10799.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10799.npy,3888,2592,1,3888,0.6666666666666666,3888.0,False
train,forged,10838,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10838.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10838.npy,573,355,1,573,0.6195462478184991,573.0,False
train,forged,10855,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10855.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10855.npy,360,360,2,360,1.0,180.0,False
train,forged,10878,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10878.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10878.npy,507,180,1,507,0.35502958579881655,507.0,False
train,forged,10884,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10884.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10884.npy,392,380,1,392,0.9693877551020408,392.0,False
train,forged,10886,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10886.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10886.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,10911,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10911.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10911.npy,256,256,1,256,1.0,256.0,False
train,forged,10939,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10939.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10939.npy,360,360,2,360,1.0,180.0,False
train,forged,10951,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10951.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10951.npy,177,673,1,177,3.8022598870056497,177.0,False
train,forged,1097,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1097.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1097.npy,360,360,3,360,1.0,120.0,False
train,forged,10980,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10980.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10980.npy,512,512,2,512,1.0,256.0,False
train,forged,10986,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10986.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10986.npy,231,275,2,231,1.1904761904761905,115.5,False
train,forged,10991,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10991.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10991.npy,256,256,2,256,1.0,128.0,False
train,forged,10992,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10992.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10992.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,1101,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1101.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1101.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11010,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11010.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11010.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11014,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11014.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11014.npy,1200,1600,1,1200,1.3333333333333333,1200.0,False
train,forged,11128,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11128.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11128.npy,365,483,1,365,1.3232876712328767,365.0,False
train,forged,11130,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11130.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11130.npy,439,419,2,439,0.9544419134396356,219.5,False
train,forged,11206,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11206.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11206.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,11223,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11223.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11223.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11240,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11240.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11240.npy,214,755,1,214,3.52803738317757,214.0,False
train,forged,11249,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11249.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11249.npy,512,704,1,512,1.375,512.0,False
train,forged,11277,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11277.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11277.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11296,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11296.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11296.npy,512,512,1,512,1.0,512.0,False
train,forged,11299,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11299.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11299.npy,473,925,2,473,1.9556025369978858,236.5,False
train,forged,11307,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11307.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11307.npy,520,696,1,520,1.3384615384615384,520.0,False
train,forged,11333,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11333.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11333.npy,1200,1600,3,1200,1.3333333333333333,400.0,False
train,forged,11356,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11356.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11356.npy,256,256,3,256,1.0,85.33333333333333,False
train,forged,1137,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1137.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1137.npy,270,480,2,270,1.7777777777777777,135.0,False
train,forged,11392,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11392.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11392.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,11399,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11399.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11399.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11426,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11426.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11426.npy,512,696,1,512,1.359375,512.0,False
train,forged,1143,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1143.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1143.npy,788,636,3,788,0.8071065989847716,262.6666666666667,False
train,forged,11440,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11440.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11440.npy,256,320,1,256,1.25,256.0,False
train,forged,11446,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11446.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11446.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11501,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11501.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11501.npy,418,1409,1,418,3.3708133971291865,418.0,False
train,forged,11508,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11508.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11508.npy,1024,1280,1,1024,1.25,1024.0,False
train,forged,11513,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11513.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11513.npy,256,320,2,256,1.25,128.0,False
train,forged,11547,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11547.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11547.npy,1200,1600,1,1200,1.3333333333333333,1200.0,False
train,forged,11548,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11548.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11548.npy,666,1000,2,666,1.5015015015015014,333.0,False
train,forged,11639,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11639.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11639.npy,666,1000,1,666,1.5015015015015014,666.0,False
train,forged,11646,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11646.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11646.npy,512,683,2,512,1.333984375,256.0,False
train,forged,11662,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11662.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11662.npy,256,256,1,256,1.0,256.0,False
train,forged,11698,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11698.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11698.npy,67,398,1,67,5.940298507462686,67.0,False
train,forged,11708,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11708.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11708.npy,184,1435,1,184,7.798913043478261,184.0,False
train,forged,1173,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1173.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1173.npy,256,256,1,256,1.0,256.0,False
train,forged,1174,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1174.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1174.npy,1041,250,1,1041,0.24015369836695485,1041.0,False
train,forged,11740,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11740.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11740.npy,512,512,1,512,1.0,512.0,False
train,forged,11747,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11747.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11747.npy,512,680,2,512,1.328125,256.0,False
train,forged,11761,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11761.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11761.npy,512,628,1,512,1.2265625,512.0,False
train,forged,11764,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11764.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11764.npy,1200,1600,3,1200,1.3333333333333333,400.0,False
train,forged,11785,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11785.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11785.npy,528,512,3,528,0.9696969696969697,176.0,False
train,forged,11854,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11854.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11854.npy,1200,1600,2,1200,1.3333333333333333,600.0,False
train,forged,11904,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11904.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11904.npy,256,256,1,256,1.0,256.0,False
