sample_source,sample_type,sample_id,image_path,mask_path,image_height,image_width,mask_height,mask_width,image_aspect_ratio,mask_aspect_ratio,shapes_match,total_pixels,num_unique_values,positive_pixels,positive_ratio,mask_size_group,label,pair_status,stratify_key,split
train,forged,59069,/content/drive/MyDrive/Scientific Image Data/train_images/forged/59069.png,/content/drive/MyDrive/Scientific Image Data/train_masks/59069.npy,512.0,711.0,1.0,512.0,1.388671875,512.0,False,364032.0,2.0,4069.0,0.011177588783403657,medium,1,,forged_medium,train
train,forged,13333,/content/drive/MyDrive/Scientific Image Data/train_images/forged/13333.png,/content/drive/MyDrive/Scientific Image Data/train_masks/13333.npy,1200.0,1600.0,2.0,1200.0,1.3333333333333333,600.0,False,1920000.0,2.0,6552.0,0.0034125,small,1,,forged_small,train
train,forged,63397,/content/drive/MyDrive/Scientific Image Data/train_images/forged/63397.png,/content/drive/MyDrive/Scientific Image Data/train_masks/63397.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,4596.0,0.00239375,small,1,,forged_small,train
train,forged,42801,/content/drive/MyDrive/Scientific Image Data/train_images/forged/42801.png,/content/drive/MyDrive/Scientific Image Data/train_masks/42801.npy,97.0,620.0,1.0,97.0,6.391752577319588,97.0,False,60140.0,2.0,6590.0,0.10957765214499501,large,1,,forged_large,train
train,authentic,62164,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/62164.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,50487,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/50487.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
supplemental,forged,59764,/content/drive/MyDrive/Scientific Image Data/supplemental_images/59764.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/59764.npy,4149.0,3326.0,1.0,4149.0,0.8016389491443722,4149.0,False,13799574.0,2.0,147791.0,0.010709823361213905,medium,1,,forged_medium,train
train,authentic,11399,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11399.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,1225,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1225.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1225.npy,254.0,600.0,1.0,254.0,2.3622047244094486,254.0,False,152400.0,2.0,18806.0,0.1233989501312336,large,1,,forged_large,train
train,forged,1587,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1587.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1587.npy,256.0,256.0,2.0,256.0,1.0,128.0,False,65536.0,2.0,345.0,0.0052642822265625,small,1,,forged_small,train
train,forged,41565,/content/drive/MyDrive/Scientific Image Data/train_images/forged/41565.png,/content/drive/MyDrive/Scientific Image Data/train_masks/41565.npy,1912.0,2568.0,1.0,1912.0,1.3430962343096233,1912.0,False,4910016.0,2.0,25124.0,0.005116887602810255,small,1,,forged_small,train
train,forged,48184,/content/drive/MyDrive/Scientific Image Data/train_images/forged/48184.png,/content/drive/MyDrive/Scientific Image Data/train_masks/48184.npy,520.0,696.0,2.0,520.0,1.3384615384615384,260.0,False,361920.0,2.0,3570.0,0.009864058355437666,small,1,,forged_small,train
train,authentic,12793,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/12793.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,41322,/content/drive/MyDrive/Scientific Image Data/train_images/forged/41322.png,/content/drive/MyDrive/Scientific Image Data/train_masks/41322.npy,1912.0,2568.0,1.0,1912.0,1.3430962343096233,1912.0,False,4910016.0,2.0,28412.0,0.005786539188467003,small,1,,forged_small,train
train,forged,7986,/content/drive/MyDrive/Scientific Image Data/train_images/forged/7986.png,/content/drive/MyDrive/Scientific Image Data/train_masks/7986.npy,520.0,696.0,1.0,520.0,1.3384615384615384,520.0,False,361920.0,2.0,2861.0,0.007905061892130858,small,1,,forged_small,train
train,authentic,59679,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/59679.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,2855,/content/drive/MyDrive/Scientific Image Data/train_images/forged/2855.png,/content/drive/MyDrive/Scientific Image Data/train_masks/2855.npy,115.0,662.0,1.0,115.0,5.756521739130434,115.0,False,76130.0,2.0,7210.0,0.0947064232234336,large,1,,forged_large,train
train,forged,44575,/content/drive/MyDrive/Scientific Image Data/train_images/forged/44575.png,/content/drive/MyDrive/Scientific Image Data/train_masks/44575.npy,3888.0,2592.0,1.0,3888.0,0.6666666666666666,3888.0,False,10077696.0,2.0,383832.0,0.03808727709190672,medium,1,,forged_medium,train
train,forged,58955,/content/drive/MyDrive/Scientific Image Data/train_images/forged/58955.png,/content/drive/MyDrive/Scientific Image Data/train_masks/58955.npy,256.0,256.0,3.0,256.0,1.0,85.33333333333333,False,65536.0,2.0,757.0,0.0115509033203125,medium,1,,forged_medium,train
train,authentic,62733,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/62733.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,20151,/content/drive/MyDrive/Scientific Image Data/train_images/forged/20151.png,/content/drive/MyDrive/Scientific Image Data/train_masks/20151.npy,520.0,696.0,1.0,520.0,1.3384615384615384,520.0,False,361920.0,2.0,5781.0,0.01597314323607427,medium,1,,forged_medium,train
train,forged,51306,/content/drive/MyDrive/Scientific Image Data/train_images/forged/51306.png,/content/drive/MyDrive/Scientific Image Data/train_masks/51306.npy,122.0,682.0,2.0,122.0,5.590163934426229,61.0,False,83204.0,2.0,4792.0,0.05759338493341666,large,1,,forged_large,train
train,forged,14822,/content/drive/MyDrive/Scientific Image Data/train_images/forged/14822.png,/content/drive/MyDrive/Scientific Image Data/train_masks/14822.npy,256.0,320.0,1.0,256.0,1.25,256.0,False,81920.0,2.0,1128.0,0.01376953125,medium,1,,forged_medium,train
train,forged,11639,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11639.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11639.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,44501.0,0.06681831831831832,large,1,,forged_large,train
train,authentic,63839,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/63839.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,15835,/content/drive/MyDrive/Scientific Image Data/train_images/forged/15835.png,/content/drive/MyDrive/Scientific Image Data/train_masks/15835.npy,167.0,941.0,1.0,167.0,5.634730538922156,167.0,False,157147.0,2.0,16296.0,0.10369908429686854,large,1,,forged_large,train
supplemental,forged,43444,/content/drive/MyDrive/Scientific Image Data/supplemental_images/43444.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/43444.npy,556.0,851.0,1.0,556.0,1.5305755395683454,556.0,False,473156.0,2.0,151250.0,0.31966201421941176,large,1,,forged_large,train
train,forged,49740,/content/drive/MyDrive/Scientific Image Data/train_images/forged/49740.png,/content/drive/MyDrive/Scientific Image Data/train_masks/49740.npy,1912.0,2568.0,1.0,1912.0,1.3430962343096233,1912.0,False,4910016.0,2.0,66260.0,0.013494864375187371,medium,1,,forged_medium,train
train,forged,34255,/content/drive/MyDrive/Scientific Image Data/train_images/forged/34255.png,/content/drive/MyDrive/Scientific Image Data/train_masks/34255.npy,461.0,118.0,1.0,461.0,0.2559652928416486,461.0,False,54398.0,2.0,3308.0,0.06081105923011875,large,1,,forged_large,train
train,forged,22456,/content/drive/MyDrive/Scientific Image Data/train_images/forged/22456.png,/content/drive/MyDrive/Scientific Image Data/train_masks/22456.npy,419.0,1539.0,1.0,419.0,3.6730310262529833,419.0,False,644841.0,2.0,5092.0,0.007896520227466926,small,1,,forged_small,train
train,forged,1270,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1270.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1270.npy,1200.0,1600.0,2.0,1200.0,1.3333333333333333,600.0,False,1920000.0,2.0,1804.0,0.0009395833333333333,tiny,1,,forged_tiny,train
train,authentic,16550,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/16550.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,6419,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/6419.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,14690,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/14690.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,15269,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/15269.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,58339,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/58339.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,5863,/content/drive/MyDrive/Scientific Image Data/train_images/forged/5863.png,/content/drive/MyDrive/Scientific Image Data/train_masks/5863.npy,2592.0,3888.0,1.0,2592.0,1.5,2592.0,False,10077696.0,2.0,550339.0,0.054609605211349894,large,1,,forged_large,train
train,authentic,60434,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/60434.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,21004,/content/drive/MyDrive/Scientific Image Data/train_images/forged/21004.png,/content/drive/MyDrive/Scientific Image Data/train_masks/21004.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,5747.0,0.0029932291666666666,small,1,,forged_small,train
train,authentic,9849,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/9849.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,39637,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/39637.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,64233,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/64233.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,61078,/content/drive/MyDrive/Scientific Image Data/train_images/forged/61078.png,/content/drive/MyDrive/Scientific Image Data/train_masks/61078.npy,318.0,338.0,1.0,318.0,1.0628930817610063,318.0,False,107484.0,2.0,675.0,0.006280004465780953,small,1,,forged_small,train
train,forged,61492,/content/drive/MyDrive/Scientific Image Data/train_images/forged/61492.png,/content/drive/MyDrive/Scientific Image Data/train_masks/61492.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,8203.0,0.004272395833333333,small,1,,forged_small,train
train,authentic,25957,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/25957.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,11501,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11501.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,31086,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/31086.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,7986,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/7986.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,27957,/content/drive/MyDrive/Scientific Image Data/train_images/forged/27957.png,/content/drive/MyDrive/Scientific Image Data/train_masks/27957.npy,633.0,854.0,2.0,633.0,1.34913112164297,316.5,False,540582.0,2.0,2898.0,0.0053608888198275195,small,1,,forged_small,train
train,forged,48280,/content/drive/MyDrive/Scientific Image Data/train_images/forged/48280.png,/content/drive/MyDrive/Scientific Image Data/train_masks/48280.npy,256.0,256.0,1.0,256.0,1.0,256.0,False,65536.0,2.0,748.0,0.01141357421875,medium,1,,forged_medium,train
train,forged,32383,/content/drive/MyDrive/Scientific Image Data/train_images/forged/32383.png,/content/drive/MyDrive/Scientific Image Data/train_masks/32383.npy,512.0,512.0,3.0,512.0,1.0,170.66666666666666,False,262144.0,2.0,12403.0,0.047313690185546875,medium,1,,forged_medium,train
train,forged,37802,/content/drive/MyDrive/Scientific Image Data/train_images/forged/37802.png,/content/drive/MyDrive/Scientific Image Data/train_masks/37802.npy,1024.0,1024.0,1.0,1024.0,1.0,1024.0,False,1048576.0,2.0,3602.0,0.0034351348876953125,small,1,,forged_small,train
train,authentic,57328,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/57328.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,26606,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/26606.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,62754,/content/drive/MyDrive/Scientific Image Data/train_images/forged/62754.png,/content/drive/MyDrive/Scientific Image Data/train_masks/62754.npy,1024.0,1024.0,1.0,1024.0,1.0,1024.0,False,1048576.0,2.0,2696.0,0.00257110595703125,small,1,,forged_small,train
train,authentic,39625,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/39625.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,7698,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/7698.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,24473,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/24473.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,61997,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/61997.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,56297,/content/drive/MyDrive/Scientific Image Data/train_images/forged/56297.png,/content/drive/MyDrive/Scientific Image Data/train_masks/56297.npy,512.0,512.0,2.0,512.0,1.0,256.0,False,262144.0,2.0,520.0,0.001983642578125,small,1,,forged_small,train
train,authentic,46969,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/46969.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,53208,/content/drive/MyDrive/Scientific Image Data/train_images/forged/53208.png,/content/drive/MyDrive/Scientific Image Data/train_masks/53208.npy,90.0,642.0,1.0,90.0,7.133333333333334,90.0,False,57780.0,2.0,18450.0,0.31931464174454827,large,1,,forged_large,train
train,forged,22052,/content/drive/MyDrive/Scientific Image Data/train_images/forged/22052.png,/content/drive/MyDrive/Scientific Image Data/train_masks/22052.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,67141.0,0.10081231231231232,large,1,,forged_large,train
train,forged,43269,/content/drive/MyDrive/Scientific Image Data/train_images/forged/43269.png,/content/drive/MyDrive/Scientific Image Data/train_masks/43269.npy,512.0,514.0,1.0,512.0,1.00390625,512.0,False,263168.0,2.0,29258.0,0.11117613083657588,large,1,,forged_large,train
train,authentic,4222,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/4222.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,38285,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/38285.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,30191,/content/drive/MyDrive/Scientific Image Data/train_images/forged/30191.png,/content/drive/MyDrive/Scientific Image Data/train_masks/30191.npy,512.0,545.0,1.0,512.0,1.064453125,512.0,False,279040.0,2.0,1336.0,0.004787844036697248,small,1,,forged_small,train
train,forged,38136,/content/drive/MyDrive/Scientific Image Data/train_images/forged/38136.png,/content/drive/MyDrive/Scientific Image Data/train_masks/38136.npy,1912.0,2568.0,1.0,1912.0,1.3430962343096233,1912.0,False,4910016.0,2.0,46153.0,0.00939976570341115,small,1,,forged_small,train
train,forged,17388,/content/drive/MyDrive/Scientific Image Data/train_images/forged/17388.png,/content/drive/MyDrive/Scientific Image Data/train_masks/17388.npy,100.0,609.0,1.0,100.0,6.09,100.0,False,60900.0,2.0,7344.0,0.1205911330049261,large,1,,forged_large,train
train,forged,50237,/content/drive/MyDrive/Scientific Image Data/train_images/forged/50237.png,/content/drive/MyDrive/Scientific Image Data/train_masks/50237.npy,1200.0,1600.0,2.0,1200.0,1.3333333333333333,600.0,False,1920000.0,2.0,11285.0,0.005877604166666666,small,1,,forged_small,train
train,forged,19148,/content/drive/MyDrive/Scientific Image Data/train_images/forged/19148.png,/content/drive/MyDrive/Scientific Image Data/train_masks/19148.npy,617.0,1283.0,1.0,617.0,2.079416531604538,617.0,False,791611.0,2.0,21004.0,0.026533234126357517,medium,1,,forged_medium,train
train,forged,53028,/content/drive/MyDrive/Scientific Image Data/train_images/forged/53028.png,/content/drive/MyDrive/Scientific Image Data/train_masks/53028.npy,2592.0,3888.0,1.0,2592.0,1.5,2592.0,False,10077696.0,2.0,352790.0,0.03500700953868821,medium,1,,forged_medium,train
train,authentic,3125,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/3125.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,46733,/content/drive/MyDrive/Scientific Image Data/train_images/forged/46733.png,/content/drive/MyDrive/Scientific Image Data/train_masks/46733.npy,512.0,512.0,1.0,512.0,1.0,512.0,False,262144.0,2.0,850.0,0.00324249267578125,small,1,,forged_small,train
train,authentic,61450,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/61450.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,775,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/775.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,51155,/content/drive/MyDrive/Scientific Image Data/train_images/forged/51155.png,/content/drive/MyDrive/Scientific Image Data/train_masks/51155.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,55505.0,0.08334084084084084,large,1,,forged_large,train
train,forged,39341,/content/drive/MyDrive/Scientific Image Data/train_images/forged/39341.png,/content/drive/MyDrive/Scientific Image Data/train_masks/39341.npy,81.0,418.0,1.0,81.0,5.160493827160494,81.0,False,33858.0,2.0,10204.0,0.30137633646405576,large,1,,forged_large,train
train,authentic,59710,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/59710.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,8681,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/8681.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,52737,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/52737.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,11919,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/11919.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,56589,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/56589.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,26252,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/26252.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,33296,/content/drive/MyDrive/Scientific Image Data/train_images/forged/33296.png,/content/drive/MyDrive/Scientific Image Data/train_masks/33296.npy,302.0,518.0,1.0,302.0,1.7152317880794703,302.0,False,156436.0,2.0,15570.0,0.09952952005932138,large,1,,forged_large,train
train,forged,26580,/content/drive/MyDrive/Scientific Image Data/train_images/forged/26580.png,/content/drive/MyDrive/Scientific Image Data/train_masks/26580.npy,1024.0,1280.0,1.0,1024.0,1.25,1024.0,False,1310720.0,2.0,8508.0,0.0064910888671875,small,1,,forged_small,train
train,authentic,45004,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/45004.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,12505,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/12505.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,26049,/content/drive/MyDrive/Scientific Image Data/train_images/forged/26049.png,/content/drive/MyDrive/Scientific Image Data/train_masks/26049.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,3568.0,0.0018583333333333334,small,1,,forged_small,train
train,forged,21264,/content/drive/MyDrive/Scientific Image Data/train_images/forged/21264.png,/content/drive/MyDrive/Scientific Image Data/train_masks/21264.npy,666.0,1000.0,2.0,666.0,1.5015015015015014,333.0,False,666000.0,2.0,38083.0,0.05718168168168168,large,1,,forged_large,train
train,forged,46933,/content/drive/MyDrive/Scientific Image Data/train_images/forged/46933.png,/content/drive/MyDrive/Scientific Image Data/train_masks/46933.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,41792.0,0.06275075075075075,large,1,,forged_large,train
train,forged,32011,/content/drive/MyDrive/Scientific Image Data/train_images/forged/32011.png,/content/drive/MyDrive/Scientific Image Data/train_masks/32011.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,12455.0,0.006486979166666667,small,1,,forged_small,train
train,authentic,29899,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/29899.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,24795,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/24795.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,36295,/content/drive/MyDrive/Scientific Image Data/train_images/forged/36295.png,/content/drive/MyDrive/Scientific Image Data/train_masks/36295.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,39208.0,0.058870870870870874,large,1,,forged_large,train
train,forged,5023,/content/drive/MyDrive/Scientific Image Data/train_images/forged/5023.png,/content/drive/MyDrive/Scientific Image Data/train_masks/5023.npy,666.0,1000.0,1.0,666.0,1.5015015015015014,666.0,False,666000.0,2.0,88050.0,0.13220720720720722,large,1,,forged_large,train
train,authentic,56549,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/56549.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,authentic,8034,/content/drive/MyDrive/Scientific Image Data/train_images/authentic/8034.png,,,,,,,,,,,,,none,0,no_mask_expected,authentic,train
train,forged,47871,/content/drive/MyDrive/Scientific Image Data/train_images/forged/47871.png,/content/drive/MyDrive/Scientific Image Data/train_masks/47871.npy,1200.0,1600.0,1.0,1200.0,1.3333333333333333,1200.0,False,1920000.0,2.0,733.0,0.00038177083333333335,tiny,1,,forged_tiny,train
