sample_source,sample_type,sample_id,image_path,mask_path,mask_height,mask_width,total_pixels,unique_values,num_unique_values,positive_pixels,positive_ratio,mask_size_group
supplemental,forged,26779,/content/drive/MyDrive/Scientific Image Data/supplemental_images/26779.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/26779.npy,1297,1951,2530447,"[0, 1]",2,311858,0.12324225719803655,large
supplemental,forged,28808,/content/drive/MyDrive/Scientific Image Data/supplemental_images/28808.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/28808.npy,2242,3417,7660914,"[0, 1]",2,326430,0.04260979825644825,medium
supplemental,forged,31168,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31168.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31168.npy,754,1500,1131000,"[0, 1]",2,257043,0.22727055702917773,large
supplemental,forged,31978,/content/drive/MyDrive/Scientific Image Data/supplemental_images/31978.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/31978.npy,746,2011,1500206,"[0, 1]",2,216838,0.14453881666917742,large
supplemental,forged,32248,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32248.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32248.npy,732,874,639768,"[0, 1]",2,4293,0.006710244963799377,small
supplemental,forged,32567,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32567.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32567.npy,381,478,182118,"[0, 1]",2,11408,0.06264070547666897,large
supplemental,forged,32575,/content/drive/MyDrive/Scientific Image Data/supplemental_images/32575.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/32575.npy,1740,901,1567740,"[0, 1]",2,80640,0.0514371005396303,large
supplemental,forged,33036,/content/drive/MyDrive/Scientific Image Data/supplemental_images/33036.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/33036.npy,643,1272,817896,"[0, 1]",2,65653,0.08027059675068712,large
supplemental,forged,36602,/content/drive/MyDrive/Scientific Image Data/supplemental_images/36602.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/36602.npy,2528,3488,8817664,"[0, 1]",2,830706,0.09420930532168156,large
supplemental,forged,37723,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37723.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37723.npy,522,886,462492,"[0, 1]",2,21534,0.046560805376092994,medium
supplemental,forged,37818,/content/drive/MyDrive/Scientific Image Data/supplemental_images/37818.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/37818.npy,1011,1654,1672194,"[0, 1]",2,196306,0.11739427363093038,large
supplemental,forged,39726,/content/drive/MyDrive/Scientific Image Data/supplemental_images/39726.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/39726.npy,613,887,543731,"[0, 1]",2,38015,0.06991508668808658,large
supplemental,forged,40574,/content/drive/MyDrive/Scientific Image Data/supplemental_images/40574.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/40574.npy,642,1279,821118,"[0, 1]",2,65116,0.07930163508777058,large
supplemental,forged,42502,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42502.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42502.npy,2021,2008,4058168,"[0, 1]",2,157020,0.03869233604917293,medium
supplemental,forged,42522,/content/drive/MyDrive/Scientific Image Data/supplemental_images/42522.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/42522.npy,2125,1181,2509625,"[0, 1]",2,317848,0.12665159137321313,large
supplemental,forged,43444,/content/drive/MyDrive/Scientific Image Data/supplemental_images/43444.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/43444.npy,556,851,473156,"[0, 1]",2,151250,0.31966201421941176,large
supplemental,forged,44639,/content/drive/MyDrive/Scientific Image Data/supplemental_images/44639.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/44639.npy,2154,1947,4193838,"[0, 1]",2,182208,0.04344659951099685,medium
supplemental,forged,46513,/content/drive/MyDrive/Scientific Image Data/supplemental_images/46513.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/46513.npy,1347,1364,1837308,"[0, 1]",2,226310,0.12317477526903492,large
supplemental,forged,47110,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47110.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47110.npy,2147,3493,7499471,"[0, 1]",2,44523,0.005936818743615383,small
supplemental,forged,47470,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47470.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47470.npy,1430,946,1352780,"[0, 1]",2,58852,0.0435044870562841,medium
supplemental,forged,47493,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47493.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47493.npy,585,719,420615,"[0, 1]",2,5032,0.011963434494727958,medium
supplemental,forged,47833,/content/drive/MyDrive/Scientific Image Data/supplemental_images/47833.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/47833.npy,771,1216,937536,"[0, 1]",2,40766,0.04348206362209024,medium
supplemental,forged,49484,/content/drive/MyDrive/Scientific Image Data/supplemental_images/49484.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/49484.npy,3919,2994,11733486,"[0, 1]",2,69098,0.005888957467542042,small
supplemental,forged,50798,/content/drive/MyDrive/Scientific Image Data/supplemental_images/50798.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/50798.npy,572,1126,644072,"[0, 1]",2,101258,0.15721534238408127,large
supplemental,forged,51318,/content/drive/MyDrive/Scientific Image Data/supplemental_images/51318.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/51318.npy,1818,2953,5368554,"[0, 1]",2,223397,0.04161213615435367,medium
supplemental,forged,5205,/content/drive/MyDrive/Scientific Image Data/supplemental_images/5205.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/5205.npy,734,924,678216,"[0, 1]",2,17990,0.026525472710758814,medium
supplemental,forged,5355,/content/drive/MyDrive/Scientific Image Data/supplemental_images/5355.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/5355.npy,2741,1708,4681628,"[0, 1]",2,137112,0.029287247940246428,medium
supplemental,forged,59764,/content/drive/MyDrive/Scientific Image Data/supplemental_images/59764.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/59764.npy,4149,3326,13799574,"[0, 1]",2,147791,0.010709823361213905,medium
supplemental,forged,60087,/content/drive/MyDrive/Scientific Image Data/supplemental_images/60087.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/60087.npy,4159,2781,11566179,"[0, 1]",2,43770,0.003784309407627186,small
supplemental,forged,63106,/content/drive/MyDrive/Scientific Image Data/supplemental_images/63106.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/63106.npy,2914,3321,9677394,"[0, 1]",2,259714,0.026837183646754487,medium
supplemental,forged,63435,/content/drive/MyDrive/Scientific Image Data/supplemental_images/63435.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/63435.npy,2212,2333,5160596,"[0, 1]",2,744012,0.14417171970059273,large
supplemental,forged,64908,/content/drive/MyDrive/Scientific Image Data/supplemental_images/64908.png,/content/drive/MyDrive/Scientific Image Data/supplemental_masks/64908.npy,747,384,286848,"[0, 1]",2,48259,0.16823892793395806,large
train,forged,10,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10.npy,512,648,331776,"[0, 1]",2,928,0.0027970679012345677,small
train,forged,10015,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10015.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10015.npy,1200,1600,1920000,"[0, 1]",2,3747,0.0019515625,small
train,forged,10017,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10017.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10017.npy,256,320,81920,"[0, 1]",2,1175,0.01434326171875,medium
train,forged,10030,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10030.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10030.npy,666,1000,666000,"[0, 1]",2,45946,0.06898798798798798,large
train,forged,10070,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10070.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10070.npy,712,414,294768,"[0, 1]",2,6951,0.023581257124246864,medium
train,forged,1008,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1008.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1008.npy,158,1310,206980,"[0, 1]",2,12674,0.06123296936902116,large
train,forged,10138,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10138.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10138.npy,3888,2592,10077696,"[0, 1]",2,597145,0.05925411919549865,large
train,forged,10139,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10139.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10139.npy,846,759,642114,"[0, 1]",2,2526,0.003933880899653333,small
train,forged,10147,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10147.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10147.npy,1912,2568,4910016,"[0, 1]",2,29953,0.006100387452912577,small
train,forged,10152,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10152.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10152.npy,152,1201,182552,"[0, 1]",2,13306,0.0728888207195758,large
train,forged,10176,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10176.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10176.npy,666,1000,666000,"[0, 1]",2,45828,0.06881081081081081,large
train,forged,10180,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10180.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10180.npy,666,1000,666000,"[0, 1]",2,42580,0.06393393393393393,large
train,forged,10208,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10208.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10208.npy,520,696,361920,"[0, 1]",2,4626,0.012781830238726791,medium
train,forged,10266,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10266.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10266.npy,666,1000,666000,"[0, 1]",2,50058,0.07516216216216216,large
train,forged,10277,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10277.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10277.npy,666,1000,666000,"[0, 1]",2,65549,0.09842192192192192,large
train,forged,10290,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10290.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10290.npy,1200,1600,1920000,"[0, 1]",2,11306,0.005888541666666667,small
train,forged,10296,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10296.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10296.npy,81,113,9153,"[0, 1]",2,793,0.08663826067955861,large
train,forged,10307,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10307.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10307.npy,1200,1600,1920000,"[0, 1]",2,4874,0.002538541666666667,small
train,forged,10348,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10348.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10348.npy,256,320,81920,"[0, 1]",2,3003,0.03665771484375,medium
train,forged,10398,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10398.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10398.npy,402,618,248436,"[0, 1]",2,1063,0.004278767972435557,small
train,forged,10408,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10408.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10408.npy,64,434,27776,"[0, 1]",2,2498,0.08993375576036866,large
train,forged,1041,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1041.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1041.npy,140,403,56420,"[0, 1]",2,1425,0.025257001063452675,medium
train,forged,10435,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10435.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10435.npy,422,1137,479814,"[0, 1]",2,54338,0.11324805028615255,large
train,forged,10448,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10448.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10448.npy,68,753,51204,"[0, 1]",2,7238,0.141356144051246,large
train,forged,10457,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10457.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10457.npy,256,256,65536,"[0, 1]",2,287,0.0043792724609375,small
train,forged,10458,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10458.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10458.npy,156,536,83616,"[0, 1]",2,4974,0.05948622273249139,large
train,forged,10476,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10476.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10476.npy,666,1000,666000,"[0, 1]",2,40380,0.06063063063063063,large
train,forged,10505,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10505.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10505.npy,102,986,100572,"[0, 1]",2,17580,0.17480014318100465,large
train,forged,10570,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10570.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10570.npy,458,1216,556928,"[0, 1]",2,159018,0.28552703401516893,large
train,forged,10602,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10602.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10602.npy,490,655,320950,"[0, 1]",2,9048,0.028191307057174014,medium
train,forged,10632,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10632.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10632.npy,256,256,65536,"[0, 1]",2,324,0.00494384765625,small
train,forged,10636,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10636.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10636.npy,360,360,129600,"[0, 1]",2,6625,0.051118827160493825,large
train,forged,10645,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10645.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10645.npy,120,640,76800,"[0, 1]",2,13074,0.170234375,large
train,forged,1070,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1070.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1070.npy,520,696,361920,"[0, 1]",2,2908,0.008034924845269673,small
train,forged,10703,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10703.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10703.npy,512,620,317440,"[0, 1]",2,2222,0.006999747983870968,small
train,forged,10730,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10730.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10730.npy,666,1000,666000,"[0, 1]",2,33443,0.05021471471471471,large
train,forged,10742,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10742.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10742.npy,256,256,65536,"[0, 1]",2,334,0.005096435546875,small
train,forged,10799,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10799.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10799.npy,3888,2592,10077696,"[0, 1]",2,579887,0.05754162459355789,large
train,forged,10838,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10838.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10838.npy,573,355,203415,"[0, 1]",2,7694,0.03782415259444977,medium
train,forged,10855,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10855.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10855.npy,360,360,129600,"[0, 1]",2,5625,0.043402777777777776,medium
train,forged,10878,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10878.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10878.npy,507,180,91260,"[0, 1]",2,2970,0.03254437869822485,medium
train,forged,10884,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10884.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10884.npy,392,380,148960,"[0, 1]",2,56274,0.37777926960257785,large
train,forged,10886,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10886.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10886.npy,666,1000,666000,"[0, 1]",2,80460,0.12081081081081081,large
train,forged,10911,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10911.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10911.npy,256,256,65536,"[0, 1]",2,198,0.003021240234375,small
train,forged,10939,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10939.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10939.npy,360,360,129600,"[0, 1]",2,3331,0.02570216049382716,medium
train,forged,10951,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10951.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10951.npy,177,673,119121,"[0, 1]",2,5938,0.04984847340099562,medium
train,forged,1097,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1097.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1097.npy,360,360,129600,"[0, 1]",2,4502,0.03473765432098765,medium
train,forged,10980,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10980.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10980.npy,512,512,262144,"[0, 1]",2,808,0.003082275390625,small
train,forged,10986,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10986.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10986.npy,231,275,63525,"[0, 1]",2,1757,0.02765840220385675,medium
train,forged,10991,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10991.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10991.npy,256,256,65536,"[0, 1]",2,157,0.0023956298828125,small
train,forged,10992,/content/drive/MyDrive/Scientific Image Data/train_images/forged/10992.png,/content/drive/MyDrive/Scientific Image Data/train_masks/10992.npy,666,1000,666000,"[0, 1]",2,58222,0.08742042042042042,large
train,forged,1101,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1101.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1101.npy,1200,1600,1920000,"[0, 1]",2,1784,0.0009291666666666667,tiny
train,forged,11010,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11010.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11010.npy,1200,1600,1920000,"[0, 1]",2,2626,0.0013677083333333334,small
train,forged,11014,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11014.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11014.npy,1200,1600,1920000,"[0, 1]",2,7826,0.004076041666666667,small
train,forged,11128,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11128.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11128.npy,365,483,176295,"[0, 1]",2,12338,0.06998496837686832,large
train,forged,11130,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11130.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11130.npy,439,419,183941,"[0, 1]",2,1638,0.008905029330056921,small
train,forged,11206,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11206.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11206.npy,666,1000,666000,"[0, 1]",2,27528,0.04133333333333333,medium
train,forged,11223,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11223.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11223.npy,1200,1600,1920000,"[0, 1]",2,3810,0.001984375,small
train,forged,11240,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11240.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11240.npy,214,755,161570,"[0, 1]",2,17562,0.10869592127251346,large
train,forged,11249,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11249.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11249.npy,512,704,360448,"[0, 1]",2,43306,0.12014493075284091,large
train,forged,11277,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11277.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11277.npy,1200,1600,1920000,"[0, 1]",2,2641,0.0013755208333333334,small
train,forged,11296,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11296.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11296.npy,512,512,262144,"[0, 1]",2,2035,0.007762908935546875,small
train,forged,11299,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11299.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11299.npy,473,925,437525,"[0, 1]",2,13992,0.031979886863607795,medium
train,forged,11307,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11307.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11307.npy,520,696,361920,"[0, 1]",2,2105,0.005816202475685235,small
train,forged,11333,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11333.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11333.npy,1200,1600,1920000,"[0, 1]",2,9824,0.005116666666666667,small
train,forged,11356,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11356.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11356.npy,256,256,65536,"[0, 1]",2,1175,0.0179290771484375,medium
train,forged,1137,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1137.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1137.npy,270,480,129600,"[0, 1]",2,4074,0.031435185185185184,medium
train,forged,11392,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11392.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11392.npy,666,1000,666000,"[0, 1]",2,36396,0.05464864864864865,large
train,forged,11399,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11399.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11399.npy,1200,1600,1920000,"[0, 1]",2,7704,0.0040125,small
train,forged,11426,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11426.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11426.npy,512,696,356352,"[0, 1]",2,69739,0.1957025637571839,large
train,forged,1143,/content/drive/MyDrive/Scientific Image Data/train_images/forged/1143.png,/content/drive/MyDrive/Scientific Image Data/train_masks/1143.npy,788,636,501168,"[0, 1]",2,2197,0.004383759537719886,small
train,forged,11440,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11440.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11440.npy,256,320,81920,"[0, 1]",2,546,0.0066650390625,small
train,forged,11446,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11446.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11446.npy,1200,1600,1920000,"[0, 1]",2,2355,0.0012265625,small
train,forged,11501,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11501.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11501.npy,418,1409,588962,"[0, 1]",2,181615,0.30836454643932887,large
train,forged,11508,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11508.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11508.npy,1024,1280,1310720,"[0, 1]",2,2921,0.002228546142578125,small
train,forged,11513,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11513.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11513.npy,256,320,81920,"[0, 1]",2,1779,0.02171630859375,medium
train,forged,11547,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11547.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11547.npy,1200,1600,1920000,"[0, 1]",2,4355,0.0022682291666666667,small
train,forged,11548,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11548.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11548.npy,666,1000,666000,"[0, 1]",2,78022,0.11715015015015015,large
train,forged,11639,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11639.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11639.npy,666,1000,666000,"[0, 1]",2,44501,0.06681831831831832,large
train,forged,11646,/content/drive/MyDrive/Scientific Image Data/train_images/forged/11646.png,/content/drive/MyDrive/Scientific Image Data/train_masks/11646.npy,512,683,349696,"[0, 1]",2,11594,0.03315451134699854,medium
