filename,filepath,label,width,height,channels,pixels,megapixels,aspect_ratio,brightness,contrast,entropy,r_mean,r_std,g_mean,g_std,b_mean,b_std,noise_mean,noise_std,ela_mean,ela_std,ela_max,fft_center,fft_total
10176.png,train_images\authentic\10176.png,authentic,1000,666,3,666000,0.666,1.5015,153.41,50.31,6.7726,183.87,49.31,148.5,54.83,98.63,55.02,4.0926,3.9924,2.9101,2.8081,36.0,13.2202,8.0225
10180.png,train_images\authentic\10180.png,authentic,1000,666,3,666000,0.666,1.5015,131.23,57.0,7.3408,170.4,56.11,123.65,61.19,67.45,57.31,4.1413,4.4097,2.9632,2.9748,35.0,13.3461,8.1021
10208.png,train_images\authentic\10208.png,authentic,696,520,3,361920,0.3619,1.3385,5.08,4.42,2.1035,14.81,11.91,0.0,0.0,6.12,12.77,0.2599,0.6166,0.906,1.7428,97.0,10.5172,5.7457
10266.png,train_images\authentic\10266.png,authentic,1000,666,3,666000,0.666,1.5015,85.0,30.42,6.4401,58.97,49.93,96.21,28.41,95.78,34.81,5.6068,5.8337,3.1859,2.6319,33.0,12.4712,8.5259
10277.png,train_images\authentic\10277.png,authentic,1000,666,3,666000,0.666,1.5015,117.78,57.84,7.1551,160.66,62.84,107.84,59.19,56.4,55.28,5.0193,4.3451,3.5132,3.1516,36.0,13.2833,8.2405
10290.png,train_images\authentic\10290.png,authentic,1600,1200,3,1920000,1.92,1.3333,37.85,18.86,5.171,60.2,25.13,33.21,19.08,3.06,2.76,1.3054,1.7254,1.3501,1.2717,41.0,13.6107,7.6117
10296.png,train_images\authentic\10296.png,authentic,113,81,3,9153,0.0092,1.3951,200.46,55.77,6.4362,214.2,42.11,192.38,63.62,206.03,54.58,4.0928,4.7879,3.3604,3.6632,52.0,9.2103,5.7516
10348.png,train_images\authentic\10348.png,authentic,320,256,3,81920,0.0819,1.25,164.05,16.57,4.6246,172.12,14.81,151.57,20.32,207.18,2.89,1.0391,1.3571,1.5429,1.5244,25.0,10.4706,5.631
10398.png,train_images\authentic\10398.png,authentic,618,402,3,248436,0.2484,1.5373,195.22,62.57,5.9779,206.19,51.55,187.12,70.21,208.09,55.75,3.6719,5.7219,2.1604,2.8583,58.0,12.5934,7.2084
10408.png,train_images\authentic\10408.png,authentic,434,64,3,27776,0.0278,6.7812,192.28,28.32,3.4494,192.28,28.32,192.28,28.32,192.28,28.32,3.8008,16.2052,0.7224,0.7121,7.0,8.9501,5.1458
1041.png,train_images\authentic\1041.png,authentic,403,140,3,56420,0.0564,2.8786,126.2,55.09,7.6546,140.79,54.86,107.5,58.55,184.26,51.48,5.6821,5.6685,3.5533,3.6006,42.0,11.1782,6.7936
10435.png,train_images\authentic\10435.png,authentic,1137,422,3,479814,0.4798,2.6943,192.21,40.27,6.0927,192.21,40.27,192.21,40.27,192.21,40.27,0.462,0.359,0.4429,0.5321,3.0,11.8576,5.9107
10448.png,train_images\authentic\10448.png,authentic,753,68,3,51204,0.0512,11.0735,92.62,15.95,5.9865,94.06,15.53,91.96,16.02,91.66,16.28,1.7512,3.953,1.125,0.9531,10.0,8.3463,5.7165
10457.png,train_images\authentic\10457.png,authentic,256,256,3,65536,0.0655,1.0,4.05,5.95,2.2672,4.05,5.95,4.05,5.95,4.05,5.95,0.5027,0.5251,0.4482,0.5451,6.0,9.4245,5.156
10458.png,train_images\authentic\10458.png,authentic,536,156,3,83616,0.0836,3.4359,105.29,36.3,6.0867,105.29,36.3,105.29,36.3,105.29,36.3,2.3752,8.3264,0.7382,0.7114,6.0,10.4294,5.459
10476.png,train_images\authentic\10476.png,authentic,1000,666,3,666000,0.666,1.5015,122.71,58.21,6.9039,166.94,52.37,110.63,62.72,68.77,63.81,2.9266,3.064,2.4984,2.4078,34.0,13.3996,7.8093
10570.png,train_images\authentic\10570.png,authentic,1216,458,3,556928,0.5569,2.655,194.31,52.77,6.8301,195.63,52.15,195.32,53.73,185.64,51.33,2.5946,2.1016,4.4383,4.0158,62.0,11.7789,7.1944
10602.png,train_images\authentic\10602.png,authentic,655,490,3,320950,0.321,1.3367,153.09,4.04,3.4349,153.09,4.04,153.09,4.04,153.09,4.04,0.4723,0.5106,0.4238,0.5202,5.0,10.0099,5.6115
10632.png,train_images\authentic\10632.png,authentic,256,256,3,65536,0.0655,1.0,7.64,11.6,2.6499,7.64,11.6,7.64,11.6,7.64,11.6,0.7424,1.2867,0.5742,0.685,10.0,9.9655,5.6556
10636.png,train_images\authentic\10636.png,authentic,360,360,3,129600,0.1296,1.0,7.46,7.5,3.4249,7.46,7.5,7.46,7.5,7.46,7.5,0.3845,0.3315,0.3541,0.5025,3.0,9.9541,5.2179
10645.png,train_images\authentic\10645.png,authentic,640,120,3,76800,0.0768,5.3333,74.85,64.44,6.3174,74.48,64.65,74.87,64.44,74.91,64.43,0.9106,1.2121,0.6461,0.6572,5.0,10.3987,5.2081
10703.png,train_images\authentic\10703.png,authentic,620,512,3,317440,0.3174,1.2109,203.8,25.18,5.8374,203.8,25.18,203.8,25.18,203.8,25.18,3.6424,4.0275,1.3992,1.1806,17.0,12.2044,7.3302
10730.png,train_images\authentic\10730.png,authentic,1000,666,3,666000,0.666,1.5015,141.94,52.86,7.3465,176.79,49.05,132.86,56.43,97.16,56.21,5.6653,5.0593,3.1165,2.74,29.0,13.1239,8.1176
10742.png,train_images\authentic\10742.png,authentic,256,256,3,65536,0.0655,1.0,5.2,8.65,2.412,5.2,8.65,5.2,8.65,5.2,8.65,0.5255,0.6566,0.4598,0.5558,6.0,9.7734,5.2446
10799.png,train_images\authentic\10799.png,authentic,2592,3888,3,10077696,10.0777,0.6667,190.09,27.34,6.3003,165.17,34.46,212.39,33.19,140.68,33.71,1.0285,1.3884,1.167,1.1265,20.0,14.9762,8.2309
10838.png,train_images\authentic\10838.png,authentic,355,573,3,203415,0.2034,0.6195,215.33,4.43,4.1196,215.33,4.43,215.33,4.43,215.33,4.43,0.6881,0.6196,0.5864,0.6223,6.0,9.5149,5.6891
10855.png,train_images\authentic\10855.png,authentic,360,360,3,129600,0.1296,1.0,13.3,10.73,3.89,13.3,10.73,13.3,10.73,13.3,10.73,0.4958,0.4561,0.4452,0.5569,5.0,10.4132,5.4478
10878.png,train_images\authentic\10878.png,authentic,180,507,3,91260,0.0913,0.355,210.23,27.48,5.1731,210.23,27.48,210.23,27.48,210.23,27.48,0.9898,0.9509,0.7296,0.7067,6.0,10.2047,5.6289
10884.png,train_images\authentic\10884.png,authentic,380,392,3,148960,0.149,0.9694,155.11,40.14,5.5739,142.87,37.67,160.15,41.09,159.86,40.85,2.1269,1.9702,1.0898,0.9581,8.0,11.214,6.3368
10886.png,train_images\authentic\10886.png,authentic,1000,666,3,666000,0.666,1.5015,142.14,60.94,7.5484,178.08,49.39,132.11,71.09,99.48,61.95,7.1931,6.3005,3.6113,3.1783,36.0,13.2385,8.4608
10911.png,train_images\authentic\10911.png,authentic,256,256,3,65536,0.0655,1.0,3.79,5.91,1.9675,3.79,5.91,3.79,5.91,3.79,5.91,0.4952,0.5918,0.4352,0.5369,4.0,9.3298,5.1146
10939.png,train_images\authentic\10939.png,authentic,360,360,3,129600,0.1296,1.0,13.93,10.58,3.9211,13.93,10.58,13.93,10.58,13.93,10.58,0.5443,0.5241,0.4762,0.5678,5.0,10.3582,5.5241
10951.png,train_images\authentic\10951.png,authentic,673,177,3,119121,0.1191,3.8023,201.4,18.54,4.1791,201.4,18.54,201.4,18.54,201.4,18.54,0.5419,0.8199,0.353,0.498,4.0,10.6365,4.9915
10980.png,train_images\authentic\10980.png,authentic,512,512,3,262144,0.2621,1.0,177.31,26.52,6.7428,185.74,27.1,168.63,27.95,199.85,19.91,5.0352,4.2667,1.22,1.2753,14.0,11.8278,7.5038
10986.png,train_images\authentic\10986.png,authentic,275,231,3,63525,0.0635,1.1905,149.85,68.59,7.44,164.59,61.74,136.2,75.35,181.42,60.86,4.0301,4.7924,3.1842,3.5305,48.0,11.6183,6.421
10991.png,train_images\authentic\10991.png,authentic,256,256,3,65536,0.0655,1.0,35.21,37.03,5.5769,35.21,37.03,35.21,37.03,35.21,37.03,2.4366,5.6791,1.0269,1.189,14.0,10.9149,6.9156
10992.png,train_images\authentic\10992.png,authentic,1000,666,3,666000,0.666,1.5015,149.04,45.73,6.9564,183.92,45.03,141.04,51.75,98.66,51.23,4.306,4.0689,3.0021,2.7416,35.0,13.0372,8.0976
1101.png,train_images\authentic\1101.png,authentic,1600,1200,3,1920000,1.92,1.3333,28.12,18.82,5.2852,45.49,24.92,24.33,19.24,2.1,2.35,1.0215,1.3601,1.1412,1.1195,58.0,13.5171,7.3843
11010.png,train_images\authentic\11010.png,authentic,1600,1200,3,1920000,1.92,1.3333,3.54,15.06,2.5103,5.58,19.04,3.12,15.69,0.27,1.94,0.3903,1.203,0.5028,0.8785,36.0,13.1811,7.0165
11128.png,train_images\authentic\11128.png,authentic,483,365,3,176295,0.1763,1.3233,131.36,33.52,4.3551,131.36,33.52,131.36,33.52,131.36,33.52,0.974,0.8628,0.862,0.8286,7.0,11.126,6.1254
11206.png,train_images\authentic\11206.png,authentic,1000,666,3,666000,0.666,1.5015,140.15,39.1,6.8578,176.03,36.09,131.69,40.0,89.48,52.06,4.7923,3.8857,3.539,3.0897,37.0,13.0534,8.0754
11223.png,train_images\authentic\11223.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.11,4.36,3.3804,11.85,6.88,2.65,3.9,0.15,0.69,0.5729,0.599,0.6888,0.8062,27.0,11.953,6.7666
11240.png,train_images\authentic\11240.png,authentic,755,214,3,161570,0.1616,3.528,214.8,48.49,6.0853,214.8,48.49,214.8,48.49,214.8,48.49,1.1965,7.5338,0.3606,0.5018,3.0,11.2221,5.1271
11249.png,train_images\authentic\11249.png,authentic,704,512,3,360448,0.3604,1.375,109.32,17.62,4.6441,109.32,17.62,109.32,17.62,109.32,17.62,1.9935,2.4953,0.8089,0.7709,10.0,11.416,6.5846
11277.png,train_images\authentic\11277.png,authentic,1600,1200,3,1920000,1.92,1.3333,4.05,4.45,3.3577,7.3,6.04,3.17,4.45,0.14,0.77,0.6122,0.6758,0.6738,0.8089,35.0,12.0308,6.8568
11296.png,train_images\authentic\11296.png,authentic,512,512,3,262144,0.2621,1.0,178.16,56.09,7.4692,180.09,55.75,172.35,59.09,202.96,46.59,6.5575,6.264,3.6039,3.5117,47.0,12.8186,7.7176
11299.png,train_images\authentic\11299.png,authentic,925,473,3,437525,0.4375,1.9556,199.39,24.58,4.8605,199.39,24.58,199.39,24.58,199.39,24.58,0.4764,0.622,0.3976,0.5328,6.0,12.3297,5.7352
11307.png,train_images\authentic\11307.png,authentic,696,520,3,361920,0.3619,1.3385,5.43,5.15,2.1405,15.69,13.52,0.0,0.0,6.8,15.95,0.3135,0.7027,1.0457,2.1567,86.0,10.6959,5.8646
11356.png,train_images\authentic\11356.png,authentic,256,256,3,65536,0.0655,1.0,17.35,12.0,3.5909,17.35,12.0,17.35,12.0,17.35,12.0,0.8595,1.1861,0.6836,0.7522,8.0,10.1373,5.762
11392.png,train_images\authentic\11392.png,authentic,1000,666,3,666000,0.666,1.5015,94.65,29.68,6.4459,55.37,43.06,110.69,26.91,115.34,30.8,5.9667,6.5872,3.1925,2.5774,29.0,12.2944,8.5668
11399.png,train_images\authentic\11399.png,authentic,1600,1200,3,1920000,1.92,1.3333,1.84,3.5,2.3869,4.03,4.81,1.08,3.51,0.06,0.57,0.4225,0.5153,0.5573,0.7209,29.0,11.8289,6.5855
11426.png,train_images\authentic\11426.png,authentic,696,512,3,356352,0.3564,1.3594,77.6,33.44,5.0608,77.6,33.44,77.6,33.44,77.6,33.44,0.6596,2.4203,0.3261,0.5836,12.0,11.9702,6.4777
1143.png,train_images\authentic\1143.png,authentic,636,788,3,501168,0.5012,0.8071,167.78,56.68,7.5064,179.58,51.38,156.71,61.57,193.82,54.52,6.1128,5.9796,4.4592,4.2749,58.0,13.0514,7.9286
11440.png,train_images\authentic\11440.png,authentic,320,256,3,81920,0.0819,1.25,174.7,50.7,6.5877,184.99,37.29,164.48,63.56,200.37,24.32,1.8314,1.9323,3.0051,2.7654,29.0,11.7152,5.7257
11446.png,train_images\authentic\11446.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.62,7.5,3.6698,9.59,9.56,4.67,7.77,0.24,1.28,0.7018,0.951,0.7301,0.8851,34.0,12.4031,7.0603
11501.png,train_images\authentic\11501.png,authentic,1409,418,3,588962,0.589,3.3708,145.74,70.8,6.6993,145.74,70.8,145.74,70.8,145.74,70.8,3.413,4.1273,1.4919,1.2517,12.0,12.2072,7.45
11508.png,train_images\authentic\11508.png,authentic,1280,1024,3,1310720,1.3107,1.25,92.3,17.6,5.8966,98.88,18.16,91.51,18.21,79.09,19.31,2.5013,3.0826,3.3672,3.2008,42.0,12.4121,8.0973
11513.png,train_images\authentic\11513.png,authentic,320,256,3,81920,0.0819,1.25,186.7,37.59,5.9572,191.47,27.77,181.35,47.33,201.73,17.76,1.308,1.4348,2.7344,2.4963,28.0,11.3703,5.6546
11547.png,train_images\authentic\11547.png,authentic,1600,1200,3,1920000,1.92,1.3333,8.92,5.14,3.8668,17.96,8.17,5.98,4.6,0.33,0.94,0.6669,0.7423,0.769,0.8667,42.0,11.9564,6.9198
11548.png,train_images\authentic\11548.png,authentic,1000,666,3,666000,0.666,1.5015,153.56,50.6,7.3912,183.48,47.17,147.95,57.43,103.92,55.36,5.8348,5.0404,3.3067,3.0444,36.0,13.0609,8.1821
11639.png,train_images\authentic\11639.png,authentic,1000,666,3,666000,0.666,1.5015,104.63,61.98,6.9244,84.55,97.01,114.54,59.97,106.15,60.05,4.5305,4.9823,3.0068,2.8696,36.0,13.4998,8.3165
11646.png,train_images\authentic\11646.png,authentic,683,512,3,349696,0.3497,1.334,80.98,56.26,7.2801,80.98,56.26,80.98,56.26,80.98,56.26,3.9385,7.4515,1.4399,1.2488,13.0,13.0253,7.6896
11662.png,train_images\authentic\11662.png,authentic,256,256,3,65536,0.0655,1.0,13.54,8.97,2.4336,13.54,8.97,13.54,8.97,13.54,8.97,0.7016,1.0808,0.6017,0.6734,9.0,9.8089,5.6294
11698.png,train_images\authentic\11698.png,authentic,398,67,3,26666,0.0267,5.9403,185.19,26.6,4.0377,185.19,26.6,185.19,26.6,185.19,26.6,0.9591,0.8169,0.8032,0.7401,6.0,8.3506,5.1022
11708.png,train_images\authentic\11708.png,authentic,1435,184,3,264040,0.264,7.7989,218.71,25.31,3.4958,218.71,25.31,218.71,25.31,218.71,25.31,0.511,0.4279,0.495,0.5327,4.0,11.2215,5.5905
1173.png,train_images\authentic\1173.png,authentic,256,256,3,65536,0.0655,1.0,3.28,6.42,1.7071,3.28,6.42,3.28,6.42,3.28,6.42,0.2532,0.5314,0.1781,0.4091,6.0,9.4294,4.9884
1174.png,train_images\authentic\1174.png,authentic,250,1041,3,260250,0.2602,0.2402,165.28,45.16,7.3741,165.28,45.16,165.28,45.16,165.28,45.16,9.3288,7.6107,2.9271,2.3176,17.0,11.6869,8.5144
11740.png,train_images\authentic\11740.png,authentic,512,512,3,262144,0.2621,1.0,170.55,42.93,7.2508,170.55,42.93,170.55,42.93,170.55,42.93,7.226,12.5972,1.8721,1.6253,18.0,11.2351,8.4047
11747.png,train_images\authentic\11747.png,authentic,680,512,3,348160,0.3482,1.3281,200.18,23.4,5.4106,200.18,23.4,200.18,23.4,200.18,23.4,3.2949,4.0683,1.277,1.083,11.0,11.8152,7.2351
11761.png,train_images\authentic\11761.png,authentic,628,512,3,321536,0.3215,1.2266,49.87,52.23,5.7057,49.87,52.23,49.87,52.23,49.87,52.23,2.1072,4.4211,0.6014,0.8032,10.0,12.5856,6.6173
11854.png,train_images\authentic\11854.png,authentic,1600,1200,3,1920000,1.92,1.3333,1.4,5.29,1.9738,2.92,7.08,0.85,5.34,0.06,0.72,0.2961,0.5294,0.4978,0.7039,33.0,12.092,6.4544
11904.png,train_images\authentic\11904.png,authentic,256,256,3,65536,0.0655,1.0,7.92,10.88,3.7317,7.92,10.88,7.92,10.88,7.92,10.88,0.4609,0.7287,0.3436,0.5513,4.0,9.9559,5.1974
11910.png,train_images\authentic\11910.png,authentic,1000,666,3,666000,0.666,1.5015,97.75,70.23,7.0828,100.91,87.47,102.93,65.21,62.79,65.36,4.6846,4.2785,3.4156,3.0366,30.0,13.5711,8.3741
11919.png,train_images\authentic\11919.png,authentic,1486,128,3,190208,0.1902,11.6094,169.26,26.55,5.3013,169.35,26.37,168.82,27.29,171.34,23.5,0.6756,2.4262,0.5261,0.6718,7.0,10.2554,4.5814
11942.png,train_images\authentic\11942.png,authentic,256,256,3,65536,0.0655,1.0,6.7,8.78,2.4193,6.7,8.78,6.7,8.78,6.7,8.78,0.6099,0.8789,0.5061,0.6108,6.0,9.7602,5.4284
11954.png,train_images\authentic\11954.png,authentic,512,512,3,262144,0.2621,1.0,104.16,44.76,7.386,127.37,40.26,83.21,44.46,151.14,65.12,5.3546,4.907,3.9496,3.8469,56.0,12.2781,7.5454
11964.png,train_images\authentic\11964.png,authentic,360,360,3,129600,0.1296,1.0,10.31,8.18,3.3977,10.31,8.18,10.31,8.18,10.31,8.18,0.4546,0.3932,0.4092,0.532,3.0,10.0535,5.3622
11985.png,train_images\authentic\11985.png,authentic,1000,666,3,666000,0.666,1.5015,136.1,50.86,7.2524,172.94,48.85,128.01,54.49,81.06,57.34,6.0675,5.1324,3.4103,3.0119,37.0,13.2304,8.2179
1201.png,train_images\authentic\1201.png,authentic,1101,865,3,952365,0.9524,1.2728,144.85,41.57,7.3597,167.83,34.71,128.35,45.65,169.57,43.69,5.7909,5.8603,2.5571,2.6251,60.0,13.2882,8.0994
12019.png,train_images\authentic\12019.png,authentic,1600,1200,3,1920000,1.92,1.3333,4.63,3.55,3.2344,10.91,5.99,2.31,3.07,0.13,0.64,0.5616,0.5869,0.6653,0.8081,33.0,11.7522,6.7643
12046.png,train_images\authentic\12046.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.14,4.49,3.5768,9.11,6.16,4.1,4.47,0.16,0.73,0.6215,0.6407,0.6976,0.8155,29.0,11.9936,6.8252
12051.png,train_images\authentic\12051.png,authentic,696,520,3,361920,0.3619,1.3385,0.91,3.75,0.9736,2.76,11.06,0.0,0.0,0.81,9.02,0.1957,0.7594,0.4442,2.0629,111.0,10.2091,5.874
12064.png,train_images\authentic\12064.png,authentic,569,216,3,122904,0.1229,2.6343,139.77,16.87,5.0529,139.77,16.87,139.77,16.87,139.77,16.87,0.7478,1.1573,0.4704,0.5657,8.0,10.1882,5.2821
12073.png,train_images\authentic\12073.png,authentic,256,256,3,65536,0.0655,1.0,2.99,2.73,1.5553,2.99,2.73,2.99,2.73,2.99,2.73,0.4749,0.4859,0.4615,0.5473,8.0,8.7472,5.0679
12115.png,train_images\authentic\12115.png,authentic,657,597,3,392229,0.3922,1.1005,148.23,69.02,7.7567,168.23,58.73,135.93,74.11,159.11,72.59,5.8454,5.6143,2.9103,2.8889,45.0,12.8255,7.4601
12124.png,train_images\authentic\12124.png,authentic,696,520,3,361920,0.3619,1.3385,3.91,4.09,1.7941,12.74,13.36,0.0,0.0,0.24,3.16,0.4565,0.8312,0.7061,1.8101,81.0,10.3917,6.1661
12143.png,train_images\authentic\12143.png,authentic,1600,1200,3,1920000,1.92,1.3333,3.68,10.14,3.1507,6.55,12.97,2.9,10.48,0.2,1.52,0.5399,1.0546,0.6176,0.8561,42.0,12.6258,7.0185
12149.png,train_images\authentic\12149.png,authentic,360,360,3,129600,0.1296,1.0,7.34,7.22,2.9875,7.34,7.22,7.34,7.22,7.34,7.22,0.4098,0.3225,0.3816,0.5107,3.0,9.9259,5.2039
12184.png,train_images\authentic\12184.png,authentic,512,512,3,262144,0.2621,1.0,142.76,32.1,6.9194,142.76,32.1,142.76,32.1,142.76,32.1,15.2631,18.4445,2.787,2.2775,20.0,10.5534,9.2383
12244.png,train_images\authentic\12244.png,authentic,3888,2592,3,10077696,10.0777,1.5,169.43,26.31,6.339,141.21,28.85,192.25,33.18,126.1,32.35,1.0532,1.8971,1.3425,1.2536,35.0,14.8376,8.3645
1225.png,train_images\authentic\1225.png,authentic,600,254,3,152400,0.1524,2.3622,159.23,30.96,4.5521,159.23,30.96,159.23,30.96,159.23,30.96,0.9146,2.5478,0.4494,0.551,5.0,11.3433,5.3032
12261.png,train_images\authentic\12261.png,authentic,320,256,3,81920,0.0819,1.25,170.3,50.42,6.7098,179.36,37.52,160.03,63.11,199.44,25.12,1.9114,2.0929,3.1325,2.9384,32.0,11.7561,5.8025
12262.png,train_images\authentic\12262.png,authentic,311,341,3,106051,0.1061,0.912,196.86,43.47,6.9129,206.86,36.26,188.22,48.56,215.07,39.09,3.7959,4.0564,2.7008,2.8343,36.0,11.7005,6.7342
12265.png,train_images\authentic\12265.png,authentic,1600,1200,3,1920000,1.92,1.3333,2.29,7.92,2.5435,4.31,10.39,1.66,8.08,0.11,1.09,0.3593,0.7623,0.4925,0.7551,32.0,12.574,6.7125
12289.png,train_images\authentic\12289.png,authentic,2592,3888,3,10077696,10.0777,0.6667,184.25,35.57,6.3934,164.05,28.78,206.23,44.72,124.07,40.85,1.1328,2.0972,1.1761,1.171,23.0,15.2621,8.4442
12298.png,train_images\authentic\12298.png,authentic,1000,666,3,666000,0.666,1.5015,129.94,56.54,7.1401,168.94,52.51,121.03,60.95,73.46,57.0,3.6872,4.0521,2.763,2.6137,33.0,13.3511,8.0586
12299.png,train_images\authentic\12299.png,authentic,1600,1200,3,1920000,1.92,1.3333,4.14,2.48,2.9171,7.85,3.28,3.08,2.52,0.11,0.58,0.635,0.5763,0.673,0.7705,30.0,11.161,6.7917
12300.png,train_images\authentic\12300.png,authentic,512,512,3,262144,0.2621,1.0,207.72,14.69,5.7512,215.09,14.26,204.16,15.9,206.7,14.69,3.3708,3.1007,2.1972,2.2732,42.0,11.0671,7.1293
12307.png,train_images\authentic\12307.png,authentic,1171,161,3,188531,0.1885,7.2733,112.26,52.7,5.6023,112.54,52.88,112.26,52.69,112.18,52.65,1.3403,2.8862,0.561,0.6903,9.0,11.145,5.6791
12355.png,train_images\authentic\12355.png,authentic,1000,666,3,666000,0.666,1.5015,84.85,34.24,6.4378,56.19,44.51,96.59,34.34,99.96,35.19,5.3109,6.1783,3.008,2.4499,28.0,12.589,8.5257
12363.png,train_images\authentic\12363.png,authentic,256,256,3,65536,0.0655,1.0,15.17,8.63,3.2313,15.17,8.63,15.17,8.63,15.17,8.63,0.8206,1.047,0.6734,0.7294,8.0,9.73,5.7299
12364.png,train_images\authentic\12364.png,authentic,975,204,3,198900,0.1989,4.7794,223.66,34.11,3.2366,222.87,33.74,223.63,34.25,224.65,34.19,2.6902,11.7117,0.8988,0.8211,14.0,11.1939,6.1882
12366.png,train_images\authentic\12366.png,authentic,320,256,3,81920,0.0819,1.25,168.0,14.93,4.3046,175.68,14.15,156.29,17.84,208.1,3.0,0.8673,1.2446,1.3744,1.4017,24.0,10.4752,5.4567
1237.png,train_images\authentic\1237.png,authentic,1541,262,3,403742,0.4037,5.8817,227.13,19.99,5.188,227.13,19.99,227.13,19.99,227.13,19.99,1.6249,1.6039,1.1584,1.0034,9.0,11.88,6.8995
12412.png,train_images\authentic\12412.png,authentic,701,512,3,358912,0.3589,1.3691,122.52,27.36,6.6231,122.52,27.36,122.52,27.36,122.52,27.36,3.18,2.893,1.261,1.0993,11.0,12.2778,7.2007
12427.png,train_images\authentic\12427.png,authentic,615,133,3,81795,0.0818,4.6241,166.38,44.96,5.1378,166.38,44.96,166.38,44.96,166.38,44.96,1.8812,4.5416,0.8942,0.8458,8.0,9.9506,5.8474
12446.png,train_images\authentic\12446.png,authentic,320,256,3,81920,0.0819,1.25,171.62,48.65,6.5698,183.2,36.35,160.94,60.75,196.27,23.05,1.7635,1.8686,2.9808,2.7348,30.0,11.6589,5.6747
12459.png,train_images\authentic\12459.png,authentic,1280,1024,3,1310720,1.3107,1.25,125.99,20.15,6.1965,119.86,20.63,129.41,20.78,124.54,19.17,2.4882,3.0336,2.9137,2.7562,38.0,12.3447,8.0105
12505.png,train_images\authentic\12505.png,authentic,2568,1912,3,4910016,4.91,1.3431,43.76,32.12,6.0028,43.76,32.12,43.76,32.12,43.76,32.12,0.5257,0.5002,0.4661,0.5479,5.0,15.0286,6.9416
1251.png,train_images\authentic\1251.png,authentic,1440,1418,3,2041920,2.0419,1.0155,190.48,26.2,4.409,190.48,26.2,190.48,26.2,190.48,26.2,0.7037,0.6306,0.4588,0.5443,5.0,13.7849,6.6028
12557.png,train_images\authentic\12557.png,authentic,2592,3888,3,10077696,10.0777,0.6667,174.96,39.61,6.4737,153.49,32.43,195.22,48.89,127.01,39.79,0.8965,1.1028,1.0943,1.0492,18.0,15.4937,8.0557
12572.png,train_images\authentic\12572.png,authentic,2568,1912,3,4910016,4.91,1.3431,63.11,30.36,6.1001,63.11,30.36,63.11,30.36,63.11,30.36,0.5844,0.517,0.5149,0.5708,6.0,15.0172,7.0008
12574.png,train_images\authentic\12574.png,authentic,1000,666,3,666000,0.666,1.5015,81.88,36.48,6.5893,59.33,43.3,91.77,41.18,89.97,42.75,3.3578,4.8404,1.9234,1.9059,26.0,12.6819,7.9221
